,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Hobart,AU,-42.88,147.33,41,75,36,6.93,1598200081
1,Punta Arenas,CL,-53.15,-70.92,37.4,59,20,26.4,1598200081
2,Victoria,HK,22.29,114.16,84,74,100,7.58,1598199975
3,Ishim,RU,56.11,69.49,54.61,90,100,6.62,1598200082
4,Zhigansk,RU,66.77,123.37,41,84,8,14.07,1598200082
5,Sorong,ID,-0.88,131.25,76.87,87,100,5.23,1598200082
6,Ola,RU,59.58,151.28,43.05,64,50,10.96,1598199872
7,Albany,US,42.6,-73.97,84,65,20,9.17,1598199945
8,Ponta Do Sol,PT,32.67,-17.1,84.2,30,20,18.34,1598200082
9,Yellowknife,CA,62.46,-114.35,54,71,40,8.05,1598199920
10,Aba,NG,5.11,7.37,79.11,80,100,6.98,1598200082
11,Gat,IL,31.61,34.76,86,45,0,10.94,1598200082
12,Norman Wells,CA,65.28,-126.83,57.2,76,20,10.29,1598200083
13,Katsuura,JP,35.13,140.3,78.01,92,61,2.53,1598200083
14,Leshukonskoye,RU,64.9,45.76,64.44,75,91,7.96,1598200083
15,Lagoa,PT,39.05,-27.98,73.72,88,44,13.02,1598200083
16,Ushuaia,AR,-54.8,-68.3,35.6,74,40,11.41,1598199943
17,Vestmannaeyjar,IS,63.44,-20.27,55.4,66,95,9.17,1598200083
18,Mataura,NZ,-46.19,168.86,45,91,53,5.01,1598200084
19,Rikitea,PF,-23.12,-134.97,69.35,83,95,20.47,1598200084
20,Hilo,US,19.73,-155.09,75.2,83,75,5.01,1598200084
21,Salina Cruz,MX,16.17,-95.2,82.09,78,89,5.99,1598200062
22,Tupik,RU,54.43,119.93,53.2,74,100,2.98,1598200084
23,Luderitz,NA,-26.65,15.16,63.39,60,0,14.34,1598200084
24,Broome,US,42.25,-75.83,84.99,54,1,9.17,1598200084
25,Clyde River,CA,70.47,-68.59,43.41,88,100,8.32,1598200084
26,Tasiilaq,GL,65.61,-37.64,48.2,57,0,5.82,1598200085
27,Soe,ID,-9.86,124.28,61.65,91,9,5.61,1598200085
28,Port Elizabeth,ZA,-33.92,25.57,60.8,77,20,20.8,1598200085
29,Tiznit,MA,29.58,-9.5,98.15,19,20,9.86,1598199838
30,Hermanus,ZA,-34.42,19.23,57.99,91,100,1.01,1598200085
31,Pacific Grove,US,36.62,-121.92,64.4,72,40,3.36,1598200080
32,Havre-Saint-Pierre,CA,50.23,-63.6,66.2,55,40,11.41,1598200086
33,Bluff,NZ,-46.6,168.33,45,91,29,5.01,1598200086
34,Bati,ET,11.18,40.02,75.07,65,46,4.92,1598200086
35,Lorengau,PG,-2.02,147.27,78.69,85,100,9.89,1598200086
36,Saldanha,ZA,-33.01,17.94,62.6,67,100,9.17,1598200086
37,Harper,LR,4.38,-7.72,78.46,75,66,12.95,1598200086
38,Puerto Leguizamo,CO,-0.19,-74.78,82.72,56,17,4.45,1598200086
39,Flinders,AU,-34.58,150.86,52,58,0,11.01,1598200086
40,Port Alfred,ZA,-33.59,26.89,60.46,79,1,10.6,1598200087
41,Hirado,JP,33.36,129.55,82,76,0,6.22,1598200087
42,East London,ZA,-33.02,27.91,63.28,74,10,5.37,1598200087
43,Ulladulla,AU,-35.35,150.47,48.2,57,0,16.11,1598199854
44,Bud,US,39.45,-86.18,82,69,1,4.94,1598200087
45,Tuktoyaktuk,CA,69.45,-133.04,55.4,82,20,8.05,1598200087
46,Constitucion,CL,-35.33,-72.42,52.97,78,100,21.3,1598200087
47,Atuona,PF,-9.8,-139.03,77.97,78,3,16.4,1598200088
48,Bhitarwar,IN,25.8,78.12,80.6,88,75,8.05,1598200088
49,Pisco,PE,-13.7,-76.22,62.6,77,90,8.05,1598200088
50,Rumonge,BI,-3.97,29.44,75.2,53,74,1.95,1598200088
51,Nome,US,64.5,-165.41,51.8,87,90,5.82,1598200088
52,Busselton,AU,-33.65,115.33,46,76,1,5.14,1598200088
53,Blythe,US,33.61,-114.6,93,50,0,3.44,1598200088
54,Corinth,GR,37.94,22.96,91,34,0,1.01,1598200088
55,Victor Harbor,AU,-35.57,138.62,41,91,72,3.42,1598200089
56,Nanortalik,GL,60.14,-45.24,47.23,78,4,3.22,1598200089
57,Codrington,AU,-38.27,141.97,42.22,82,56,8.05,1598200089
58,Kapaa,US,22.08,-159.32,78.8,83,90,9.17,1598200089
59,Barrow,US,71.29,-156.79,37.4,93,90,11.41,1598200089
60,Severo-Kurilsk,RU,50.68,156.12,51.67,71,99,5.12,1598200090
61,Bredasdorp,ZA,-34.53,20.04,59,87,100,11.41,1598200090
62,Mount Isa,AU,-20.73,139.5,50,31,0,10.38,1598200090
63,Lavrentiya,RU,65.58,-171,46.62,95,95,5.39,1598200090
64,Isangel,VU,-19.55,169.27,71.6,94,5,3.36,1598200090
65,Souillac,MU,-20.52,57.52,71.6,73,40,16.11,1598200090
66,New Norfolk,AU,-42.78,147.06,39.99,85,8,2.95,1598200090
67,Umm Kaddadah,SD,13.6,26.69,96.78,27,84,6.55,1598200091
68,Calabozo,VE,8.92,-67.43,83.75,71,32,4.34,1598200091
69,Nelson Bay,AU,-32.72,152.15,51.01,57,1,19.46,1598200091
70,Cayenne,GF,4.93,-52.33,84.2,79,0,9.17,1598200066
71,Sagua La Grande,CU,22.81,-80.08,89.6,62,75,14.99,1598200091
72,Kautokeino,NO,69.01,23.04,61.02,73,100,1.59,1598200091
73,Torbay,CA,47.67,-52.73,70,45,20,10.29,1598200091
74,Rudbar,AF,30.15,62.6,98.17,24,0,16.08,1598200091
75,Butaritari,KI,3.07,172.79,82.81,69,80,11.01,1598200092
76,Grindavik,IS,63.84,-22.43,55.4,71,95,9.17,1598200092
77,Kodiak,US,57.79,-152.41,55.4,87,90,3.36,1598200008
78,Qaanaaq,GL,77.48,-69.36,37.13,87,100,1.45,1598200092
79,Saint-Philippe,RE,-21.36,55.77,71.6,73,26,2.24,1598200092
80,Kaohsiung,TW,22.62,120.31,84.2,83,75,8.05,1598200092
81,Outjo,NA,-20.12,16.15,83.73,14,0,7.43,1598200092
82,Hofn,IS,64.25,-15.21,55.4,71,75,6.93,1598200092
83,Avera,US,33.19,-82.53,82.4,74,75,8.37,1598199823
84,Cape Town,ZA,-33.93,18.42,64,82,20,9.17,1598199989
85,Itarema,BR,-2.92,-39.92,85.71,55,3,20.11,1598200093
86,Jalu,LY,29.03,21.55,96.69,17,0,13.24,1598200093
87,Touros,BR,-5.2,-35.46,82.4,61,40,17.22,1598200003
88,Puerto Narino,CO,-3.77,-70.38,71.6,83,75,4.7,1598200093
89,Ribeira Grande,PT,38.52,-28.7,77,83,40,8.05,1598200093
90,Najran,SA,17.49,44.13,96.8,16,100,6.93,1598200093
91,Yulara,AU,-25.24,130.99,62.6,35,0,10.29,1598200093
92,Arraial Do Cabo,BR,-22.97,-42.03,73.4,60,40,8.05,1598199853
93,Nizhniy Kuranakh,RU,58.84,125.49,42.17,70,0,1.5,1598200094
94,Tamandare,BR,-8.76,-35.1,79.54,66,42,11.39,1598199855
95,Panchagarh,BD,26.33,88.56,78.8,94,40,2.24,1598200094
96,Port Keats,AU,-14.25,129.55,70.86,85,0,2.42,1598200094
97,Bethel,US,41.37,-73.41,84.99,62,1,5.82,1598200094
98,Svay Rieng,KH,11.09,105.8,81.21,80,97,7.72,1598200094
99,Provideniya,RU,64.38,-173.3,49.64,92,97,4.41,1598200094
100,Baykit,RU,61.67,96.37,53.55,88,1,2.37,1598200095
101,Chuy,UY,-33.7,-53.46,61.75,55,0,9.55,1598200095
102,Arman,RU,59.7,150.17,41.2,68,0,10.33,1598200095
103,Nizhniy Odes,RU,63.64,54.86,55.54,80,53,1.52,1598200095
104,Upington,ZA,-28.45,21.26,77,22,0,5.82,1598200095
105,Xuddur,SO,4.12,43.89,77.9,62,96,17.11,1598200095
106,Tuatapere,NZ,-46.13,167.68,45,91,69,5.01,1598200095
107,Zeya,RU,53.75,127.27,58.03,62,100,4.45,1598200096
108,Sao Joao Da Barra,BR,-21.64,-41.05,75.2,50,75,11.41,1598200096
109,Aykhal,RU,66,111.5,51.8,57,0,6.71,1598200096
110,Castro,BR,-24.79,-50.01,57.22,70,40,11.65,1598200096
111,Cidreira,BR,-30.18,-50.21,63,63,0,14.27,1598200096
112,Parabel,RU,58.7,81.48,51.76,90,84,4.74,1598200096
113,Semey,KZ,50.41,80.23,66.02,41,84,5.03,1598200096
114,Liwale,TZ,-9.77,37.93,76.39,48,100,4.23,1598200096
115,Nikolskoye,RU,59.7,30.79,66.2,68,90,2.24,1598200096
116,Novokayakent,RU,42.39,47.99,71.01,68,99,6.71,1598200097
117,Aligudarz,IR,33.4,49.69,67.21,26,0,10.78,1598200097
118,Jamestown,US,42.1,-79.24,73.99,88,75,3.36,1598199814
119,Georgetown,MY,5.41,100.34,84.2,88,20,3.36,1598199836
120,Ust-Uda,RU,54.17,103.03,52.93,90,99,2.55,1598200097
121,Jackson,US,42.42,-122.83,66,63,1,4.7,1598200097
122,Tucuman,AR,-26.82,-65.22,66.2,25,86,5.82,1598200011
123,Hithadhoo,MV,-0.6,73.08,82.67,78,50,12.86,1598200097
124,Longyearbyen,SJ,78.22,15.64,48.2,49,20,9.17,1598200098
125,Tashtagol,RU,52.77,87.89,53.13,92,75,3.51,1598200098
126,Bengkulu,ID,-3.8,102.27,77.2,89,96,4.5,1598199938
127,Manbij,SY,36.53,37.95,87.8,22,0,8.05,1598200098
128,The Valley,AI,18.22,-63.06,87.8,70,40,16.11,1598200005
129,Srednekolymsk,RU,67.45,153.68,34.36,90,97,7.54,1598200098
130,Batsfjord,NO,70.63,29.72,66.2,59,97,17.22,1598200098
131,Te Anau,NZ,-45.42,167.72,39.96,89,94,1.28,1598200098
132,Zaraza,VE,9.35,-65.32,82,86,96,3.67,1598200099
133,Geraldton,AU,-28.77,114.6,51.8,87,75,2.24,1598200099
134,Kaitangata,NZ,-46.28,169.85,53.01,88,97,15.01,1598200099
135,Carnarvon,AU,-24.87,113.63,64.4,88,81,14.99,1598200099
136,Awjilah,LY,29.11,21.29,96.13,16,0,13.98,1598200099
137,San Policarpo,PH,12.18,125.51,79.95,84,68,5.95,1598200099
138,Esperance,AU,-33.87,121.9,50,100,90,5.82,1598200099
139,Paragould,US,36.06,-90.5,87.8,51,1,9.17,1598199936
140,Mocuba,MZ,-16.84,36.99,70.97,64,58,5.84,1598199802
141,Tiksi,RU,71.69,128.87,37.65,81,80,9.64,1598200100
142,Road Town,VG,18.42,-64.62,89.6,66,40,10.29,1598200100
143,Nishihara,JP,26.18,127.76,82.4,88,75,26.4,1598200100
144,Vaini,TO,-21.2,-175.2,73.4,94,20,8.05,1598200100
145,Waingapu,ID,-9.66,120.26,74.28,80,79,4.7,1598200100
146,Cabo San Lucas,MX,22.89,-109.91,91.4,41,40,4.7,1598199896
147,Lakatoro,VU,-16.1,167.42,75.2,100,40,6.55,1598200100
148,Churapcha,RU,62,132.43,42.57,63,96,1.86,1598200100
149,Lompoc,US,34.64,-120.46,75.2,73,1,2.75,1598200101
150,Riyadh,SA,24.69,46.72,109.4,10,40,6.93,1598199930
151,Nantucket,US,41.28,-70.1,78.8,78,1,8.05,1598199984
152,Ayr,GB,55.46,-4.63,60.01,76,75,4.7,1598200101
153,Batagay-Alyta,RU,67.8,130.41,36.09,89,100,5.35,1598200101
154,Masuguru,TZ,-11.37,38.42,82.92,41,98,6.78,1598200101
155,Lebu,CL,-37.62,-73.65,51.35,91,100,19.37,1598200101
156,Pechenga,RU,69.53,31.17,64.4,77,78,18.34,1598200101
157,Faanui,PF,-16.48,-151.75,76.37,76,1,19.51,1598200102
158,Pevek,RU,69.7,170.31,37.36,96,100,4.65,1598199997
159,Rio De Janeiro,BR,-22.9,-43.21,71.6,60,75,5.82,1598200062
160,Kahului,US,20.89,-156.47,80.6,61,40,10.29,1598200102
161,Faya,SA,18.39,42.45,77,69,20,9.17,1598200102
162,Yanam,IN,16.73,82.22,82.4,83,75,5.82,1598200102
163,Mahebourg,MU,-20.41,57.7,71.6,73,40,16.11,1598200102
164,Mitsamiouli,KM,-11.38,43.28,80.6,61,20,6.93,1598200102
165,Avarua,CK,-21.21,-159.78,71.6,78,4,5.82,1598200102
166,Phrae,TH,18.08,100,80.01,96,100,2.51,1598200103
167,Geilo,NO,60.53,8.21,50,68,13,4,1598200103
168,Portland,US,45.52,-122.68,64.4,67,20,5.82,1598199974
169,Salalah,OM,17.02,54.09,77,100,90,5.82,1598199904
170,Ouro Preto Do Oeste,BR,-10.75,-62.22,100.94,20,0,1.72,1598200103
171,Dunedin,NZ,-45.87,170.5,48.99,96,100,4,1598199815
172,Katesh,TZ,-4.52,35.38,68.49,43,96,9.08,1598200103
173,Thompson,CA,55.74,-97.86,46.4,100,90,8.05,1598200103
174,Zhezkazgan,KZ,47.8,67.71,68,45,90,13.42,1598200104
175,Sinnamary,GF,5.38,-52.95,84.38,73,1,8.61,1598200104
176,Ahipara,NZ,-35.17,173.17,55.17,80,39,17.67,1598200104
177,Mugur-Aksy,RU,50.35,90.5,45.86,61,53,4.7,1598200104
178,Port Hardy,CA,50.7,-127.42,55.98,83,100,1.61,1598200104
179,Alofi,NU,-19.06,-169.92,73.4,88,84,8.05,1598200104
180,Bireun,ID,5.2,96.7,78.26,82,27,4.18,1598200104
181,Gigmoto,PH,13.78,124.39,81.19,80,100,4.63,1598200104
182,Mtambile,TZ,-5.38,39.7,76.32,77,3,12.15,1598200105
183,Acajutla,SV,13.59,-89.83,77,88,40,2.24,1598199810
184,Solnechnyy,RU,50.72,136.63,58.19,90,97,1.45,1598200105
185,Griffith,US,41.53,-87.42,82.4,54,40,9.17,1598199872
186,Kidal,ML,18.44,1.41,100.69,23,1,8.28,1598200105
187,Puerto Ayora,EC,-0.74,-90.35,71.6,64,75,20.8,1598200105
188,Rochester,US,43.15,-77.62,84.2,48,20,8.05,1598199964
189,Nioro,GM,13.35,-15.75,77.09,81,100,0.47,1598200105
190,Kiama,AU,-34.68,150.87,52,58,0,11.01,1598200106
191,Rorvik,NO,64.86,11.24,53.6,66,40,16.11,1598200106
192,Saskylakh,RU,71.92,114.08,42.6,77,0,6.64,1598200106
193,Vila Velha,BR,-20.33,-40.29,71.6,64,75,19.46,1598200106
194,Tura,IN,25.52,90.22,74.91,95,83,3.83,1598200106
195,Nagua,DO,19.38,-69.85,75.2,100,90,5.82,1598200106
196,Vila Franca Do Campo,PT,37.72,-25.43,77,73,20,14.99,1598200106
197,Qasigiannguit,GL,68.82,-51.19,46.4,52,0,3.36,1598200106
198,Mananjary,MG,-21.22,48.33,67.96,82,0,6.2,1598200106
199,Sangar,RU,63.92,127.47,38.98,88,9,1.68,1598200107
200,Simao,CN,22.79,100.97,67.33,95,100,2.15,1598200107
201,Bolobo,CD,-2.17,16.23,80.76,68,80,1.74,1598200107
202,Ilulissat,GL,69.22,-51.1,46.4,52,0,3.36,1598200107
203,Ambanja,MG,-13.68,48.45,77,75,75,2.24,1598200107
204,Phalaborwa,ZA,-23.94,31.14,82.4,21,0,9.17,1598199944
205,Graaff-Reinet,ZA,-32.25,24.53,75.99,11,0,1.99,1598199846
206,Saravena,CO,6.95,-71.88,83.39,69,65,2.64,1598200108
207,Moussoro,TD,13.64,16.49,85.73,57,100,6.06,1598200108
208,Zanesville,US,39.94,-82.01,75.99,78,90,4.7,1598200108
209,Lodja,CD,-3.48,23.43,74.37,89,100,0.54,1598200108
210,Murillo,CO,4.87,-75.17,75.2,83,40,9.17,1598200108
211,Tabas,IR,33.6,56.92,100.4,16,0,6.93,1598200108
212,Dallas,US,32.77,-96.78,90,48,1,4.7,1598199816
213,Qui Nhon,VN,13.77,109.23,81.21,79,90,5.19,1598200109
214,Romodanovo,RU,54.43,45.33,62.69,63,0,3.96,1598200109
215,Dikson,RU,73.51,80.55,46.99,78,0,10.71,1598200109
216,Los Llanos De Aridane,ES,28.66,-17.92,79,69,20,18.34,1598200109
217,Ploemeur,FR,47.73,-3.43,71.01,64,40,17.22,1598200109
218,Bilma,NE,18.69,12.92,96.08,34,83,13.13,1598200109
219,Tarata,BO,-17.62,-66.02,73.4,28,20,5.82,1598200109
220,Sehithwa,BW,-20.47,22.72,76.44,27,4,0.78,1598200110
221,Matias Barbosa,BR,-21.87,-43.32,68,54,66,5.12,1598200110
222,Bitaogan,PH,6.77,126.08,80.6,83,40,2.24,1598200110
223,West Wendover,US,40.74,-114.07,80.6,21,1,3.36,1598200110
224,El Tarra,CO,8.58,-73.09,89.83,52,62,2.15,1598200110
225,Vrede,ZA,-27.43,29.17,58.96,29,0,6.17,1598200110
226,Hailar,CN,49.2,119.7,58.68,91,98,5.44,1598200110
227,Chokurdakh,RU,70.63,147.92,30.2,99,95,7.16,1598200110
228,Camacha,PT,33.08,-16.33,77,69,20,18.34,1598200110
229,Abu Dhabi,AE,24.47,54.37,96.8,67,54,9.17,1598199945
230,Fort Smith,US,35.39,-94.4,82.4,65,1,4.7,1598200111
231,Goundam,ML,16.41,-3.67,96.4,33,2,8.23,1598200111
232,Narsaq,GL,60.92,-46.05,55.4,62,0,9.17,1598200111
233,Mbuji-Mayi,CD,-6.15,23.6,80.6,57,75,11.41,1598200111
234,Ara,IN,25.57,84.67,80.6,83,40,1.95,1598200111
235,Namibe,AO,-15.2,12.15,71.6,68,75,20.8,1598200112
236,Hirara,JP,24.8,125.28,84.47,78,100,31.99,1598200112
237,Santa Cruz,BO,-17.8,-63.17,75.2,33,8,11.41,1598200017
238,Yuzhou,CN,34.16,113.46,78.8,94,52,5.93,1598200112
239,Hami,CN,42.8,93.45,83.62,19,97,5.66,1598200112
240,Igboho,NG,8.83,3.75,77.49,78,96,7.45,1598200112
241,Rio Grande,BR,-32.03,-52.1,68,60,0,13.87,1598200047
242,Kavieng,PG,-2.57,150.8,77.23,91,100,11.52,1598200112
243,Chicama,PE,-7.84,-79.15,71.98,52,48,8.48,1598200113
244,Kargasok,RU,59.06,80.86,51.62,88,43,6.24,1598200113
245,Egvekinot,RU,66.32,-179.17,46.15,96,99,3.44,1598200113
246,Khatanga,RU,71.97,102.5,56.19,66,90,8.72,1598200113
247,Katobu,ID,-4.94,122.53,71.38,91,26,3.8,1598200113
248,Rabak,SD,13.18,32.74,85.35,58,78,7.16,1598200113
249,Bambous Virieux,MU,-20.34,57.76,72,73,40,16.11,1598200113
250,Orhei,MD,47.38,28.82,86,30,0,5.82,1598200113
251,San Cristobal,VE,7.77,-72.22,80.6,69,75,9.17,1598200114
252,Hyeres,FR,43.12,6.12,91.4,24,0,10.29,1598200114
253,Pangai,TO,-19.8,-174.35,77.5,80,78,18.14,1598200114
254,Tabou,CI,4.42,-7.35,78.26,76,73,12.39,1598200114
255,Mbeya,TZ,-8.9,33.45,60.91,68,66,6.62,1598200114
256,Koungou,YT,-12.73,45.2,77,73,3,5.82,1598200114
257,Sakakah,SA,29.97,40.21,98.6,13,0,10.29,1598200114
258,Garden City,US,42.33,-83.33,87.8,48,20,5.82,1598200114
259,Upernavik,GL,72.79,-56.15,45.07,80,80,9.28,1598200115
260,Bongandanga,CD,1.5,21.05,71.04,97,100,0.67,1598200115
261,Keetmanshoop,NA,-26.58,18.13,77.83,15,0,5.37,1598200115
262,Dengzhou,CN,37.81,120.75,75.24,91,93,9.19,1598200115
263,Sydney,AU,-33.87,151.21,52,53,0,14.99,1598199920
264,Naze,JP,28.37,129.48,84.2,83,75,8.05,1598200115
265,Hasaki,JP,35.73,140.83,75.2,94,40,4.7,1598200116
266,Velsk,RU,61.07,42.1,64.99,76,100,6.98,1598200058
267,Necochea,AR,-38.55,-58.74,58.82,54,0,17.09,1598200116
268,Richards Bay,ZA,-28.78,32.04,69.93,69,0,9.37,1598200116
269,Labuhan,ID,-6.88,112.21,79,76,32,7.74,1598200116
270,Kaspiyskiy,RU,45.39,47.37,71.78,40,41,6.64,1598200116
271,Lamu,KE,-2.27,40.9,76.15,79,25,13.58,1598200116
272,Ca Mau,VN,9.18,105.15,79.99,85,97,3.15,1598200116
273,Wladyslawowo,PL,54.79,18.4,75.99,52,51,13.87,1598200117
274,Vilcun,CL,-38.65,-72.23,52,87,90,14.99,1598200117
275,Lekoni,GA,-1.58,14.26,80.71,63,98,7.94,1598200117
276,Jacareacanga,BR,-6.22,-57.75,99.91,20,0,4.25,1598200117
277,Elat,IL,29.56,34.95,100.4,37,0,13.87,1598200117
278,Alta Floresta,BR,-9.88,-56.09,89.6,31,0,4.7,1598200117
279,Bulgan,MN,48.81,103.53,50.92,80,2,5.44,1598200117
280,Quatre Cocos,MU,-20.21,57.76,72,73,40,16.11,1598200117
